url,pillar,slots_total,slots_fixed,slots_skipped,flags,action_taken
"/knowledge/mv0006","mv","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/mv0005","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0004","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0003","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0002","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/mv0001","mv","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0062","hf","4","3","1","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0061","hf","4","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0060","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0059","hf","4","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0058","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0057","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0056","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0055","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0054","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0053","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0052","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0051","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0050","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0049","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0048","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0047","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0046","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0045","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0044","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0043","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0042","hf","4","4","0","HOTLINKED","IMAGE_PASS"
